day,scale,slope,intercept,offset
0,7.383065,-5.72458E-05,15.992189,100
1,6.668361,-1.96114E-05,13.286789,100
2,9.069268,-1.31328E-05,12.201765,100
3,12.387109,-1.01241E-05,11.432296,100
4,22.318447,-8.3436E-06,10.821508,100
5,21.933051,-7.1518E-06,10.3091,100
6,15.866941,-6.2915E-06,9.864583,100
7,19.984924,-5.6378E-06,9.470147,100
8,14.694127,-5.1221E-06,9.114385,100
9,30.04109,-4.7037E-06,8.789512,100
10,30.755499,-4.3566E-06,8.489954,100
11,39.094682,-4.0634E-06,8.211568,100
12,29.559831,-3.8121E-06,7.951188,100
13,45.929583,-3.6934E-06,7.819516,100
14,45.929583,-3.6934E-06,7.819516,100
15,45.929583,-3.6934E-06,7.819516,100
16,45.929583,-3.6934E-06,7.819516,100
17,45.929583,-3.6934E-06,7.819516,100
18,45.929583,-3.6934E-06,7.819516,100
19,45.929583,-3.6934E-06,7.819516,100
